pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,1,2,0,2,1,0,0,0,0,1,0,3,0,0,101,8,0,0,1,1,3,0,1,0,13,152,91,2,0,0,1,1,0,1,0,0,18,2,153,0,0,0,1,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,2,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,21,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,1,0,0,17,2,23,103,492,504,90,0,16,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,2,0,1,239,100,0,0,0,0,0,0,1,0,0,72,241,0,0,1,0,1,0,0,0,20,0,98,50,0,0,0,0,0,1,0,0,0,1,24,0,0,2,22,0,0,0,1,18,16,3,22,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2
0,0,1,2,0,2,1,0,0,0,0,0,0,3,0,0,101,8,0,0,1,1,0,0,1,0,13,152,91,2,0,0,1,0,0,1,0,0,18,2,153,0,0,0,0,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,2,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,0,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,0,0,0,17,2,23,103,492,504,90,0,0,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,2,0,1,239,100,0,0,0,0,0,0,1,0,0,72,241,0,0,1,0,0,0,0,0,20,0,98,50,0,0,0,0,0,1,0,0,0,1,24,0,0,2,0,0,0,0,1,18,16,3,22,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,2
1,2,0,2,1,0,0,0,0,1,0,3,0,0,101,8,0,0,1,1,3,2,1,0,13,152,91,2,0,0,1,1,13,1,0,0,18,2,153,0,0,0,1,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,2,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,21,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,1,2,0,17,2,23,103,492,504,90,0,16,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,2,0,1,239,100,0,0,0,0,0,0,1,0,0,72,241,0,0,1,0,1,2,0,0,20,0,98,50,0,0,0,0,2,1,0,0,0,1,24,0,0,2,22,0,0,0,1,18,16,3,22,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,2
2,0,2,1,0,0,0,0,1,0,0,0,0,101,8,0,0,1,1,3,2,0,0,13,152,91,2,0,0,1,1,13,0,0,0,18,2,153,0,0,0,1,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,0,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,21,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,1,2,0,17,2,23,103,492,504,90,0,16,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,0,0,1,239,100,0,0,0,0,0,0,0,0,0,72,241,0,0,1,0,1,2,0,0,20,0,98,50,0,0,0,0,2,0,0,0,0,1,24,0,0,2,22,0,0,0,1,18,16,3,22,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2
0,2,1,0,0,0,0,1,0,0,0,0,101,8,0,0,1,1,3,2,0,0,13,152,91,2,0,0,1,1,13,0,0,0,18,2,153,0,0,0,1,0,0,0,0,106,517,754,87,2,0,0,0,0,0,3,96,155,517,178,0,0,0,0,0,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,21,0,0,0,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,1,2,0,0,2,23,103,492,504,90,0,16,0,0,0,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,0,0,1,239,100,0,0,0,0,0,0,0,0,0,72,241,0,0,1,0,1,2,0,0,20,0,98,50,0,0,0,0,2,0,0,0,0,1,24,0,0,2,22,0,0,0,1,18,16,3,22,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2
0,1,2,0,2,1,0,0,0,0,1,0,3,0,0,101,8,0,0,1,1,3,0,1,0,13,152,91,2,0,0,1,1,0,1,0,0,18,2,153,0,0,0,1,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,2,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,21,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,1,0,0,17,2,23,103,492,504,90,0,16,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,2,0,1,239,100,0,0,0,0,0,0,1,0,0,72,241,0,0,1,0,1,0,0,0,20,0,98,50,0,0,0,0,0,1,0,0,0,1,24,0,0,2,22,0,0,0,1,18,16,3,22,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2
0,0,1,2,0,2,1,0,0,0,0,0,0,3,0,0,101,8,0,0,1,1,0,0,1,0,13,152,91,2,0,0,1,0,0,1,0,0,18,2,153,0,0,0,0,0,0,0,0,106,517,754,87,2,0,0,0,0,9,3,96,155,517,178,0,0,0,0,2,0,3,84,13,181,115,0,0,0,0,0,0,8,87,0,11,163,172,0,0,0,0,1,0,0,1,154,414,193,0,0,0,0,0,0,0,0,172,924,144,0,0,0,0,17,2,23,103,492,504,90,0,0,0,0,9,2,143,595,182,84,0,0,0,0,0,0,0,166,140,12,1,0,0,0,0,2,0,1,239,100,0,0,0,0,0,0,1,0,0,72,241,0,0,1,0,0,0,0,0,20,0,98,50,0,0,0,0,0,1,0,0,0,1,24,0,0,2,0,0,0,0,1,18,16,3,22,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,2
0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,1,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,1,1,1,0,0,105,3,0,185,208,0,0,0,3
0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,0,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,0,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,1,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,52,0,2,0,38,0,1,1,0,0,0,105,3,0,185,208,0,0,0,0,3
0,2,0,0,107,565,0,0,0,0,0,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,0,0,0,0,2,0,8,0,1,0,0,0,0,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,0,0,0,102,336,97,0,0,0,0,0,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,0,0,159,5,17,69,0,0,0,1,0,0,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,0,0,7,0,0,0,2,0,1,0,0,0,24,7,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,52,0,2,0,38,0,1,1,0,0,0,105,3,0,185,208,0,0,0,0,0,3
0,0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,0,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,0,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,0,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,1,0,1,0,0,105,3,0,185,208,0,0,3
0,0,0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,0,0,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,0,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,0,0,0,0,0,0,63,360,209,2,0,0,0,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,0,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,2,24,7,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,0,0,1,0,0,105,3,0,185,208,0,3
0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,1,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,1,1,1,0,0,105,3,0,185,208,0,0,0,3
0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,0,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,0,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,1,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,52,0,2,0,38,0,1,1,0,0,0,105,3,0,185,208,0,0,0,0,3
0,2,0,0,107,565,0,0,0,0,0,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,13,0,0,0,0,2,0,8,0,1,0,0,0,0,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,0,0,0,102,336,97,0,0,0,0,0,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,1,0,0,3,22,31,144,186,0,0,0,0,0,0,0,159,5,17,69,0,0,0,1,0,0,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,0,0,7,0,0,0,2,0,1,0,0,0,24,7,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,52,0,2,0,38,0,1,1,0,0,0,105,3,0,185,208,0,0,0,0,0,3
0,0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,1,0,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,4,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,20,0,0,0,0,0,63,360,209,2,0,1,0,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,0,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,2,0,0,1,0,7,0,0,0,2,0,1,0,0,2,24,7,0,1,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,1,0,1,0,0,105,3,0,185,208,0,0,3
0,0,0,0,0,2,0,0,107,565,0,0,0,0,58,1,0,22,376,283,230,0,0,0,0,0,0,21,161,129,2,22,2,0,0,22,108,0,0,2,0,8,0,1,0,0,0,18,1,0,137,36,157,0,3,0,0,0,0,0,1,299,214,341,0,0,0,0,0,1,0,0,102,336,97,0,0,0,0,1,0,0,33,58,250,190,0,1,0,0,0,0,0,0,63,360,209,2,0,0,0,0,0,3,22,31,144,186,0,0,0,0,0,9,0,159,5,17,69,0,0,0,0,0,10,0,160,418,36,328,119,0,0,0,0,0,0,139,141,61,403,65,1,0,0,0,0,1,18,45,0,69,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,2,24,7,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,52,0,2,0,38,0,0,0,1,0,0,105,3,0,185,208,0,3
2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,47,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,1,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,3
0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,0,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,0,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,0,3
0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,0,0,2,0,3,0,11,0,3,2,1,0,0,0,0,170,42,133,0,0,2,0,0,0,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,0,0,149,66,40,107,86,0,9,1,0,0,1,173,489,60,335,163,0,1,0,0,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,0,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,0,2,33,2,0,149,108,1,0,1,0,0,3
0,2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,0,47,157,2,0,3,0,11,0,3,2,0,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,0,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,0,0,9,1,173,489,60,335,163,0,1,0,1,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,3
0,0,2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,0,0,0,0,0,17,183,142,0,0,0,0,0,47,157,2,0,3,0,11,0,3,0,0,0,18,0,0,170,42,133,0,0,0,0,0,2,0,2,366,347,171,0,0,0,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,0,0,0,0,0,1,93,416,162,0,2,0,0,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,0,0,0,9,1,173,489,60,335,163,0,0,0,1,0,0,147,171,84,468,102,2,0,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,3
2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,47,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,1,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,3
0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,0,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,0,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,0,3
0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,0,0,2,0,3,0,11,0,3,2,1,0,0,0,0,170,42,133,0,0,2,0,0,0,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,0,0,149,66,40,107,86,0,9,1,0,0,1,173,489,60,335,163,0,1,0,0,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,0,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,0,2,33,2,0,149,108,1,0,1,0,0,3
0,2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,0,47,157,2,0,3,0,11,0,3,2,0,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,0,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,0,0,9,1,173,489,60,335,163,0,1,0,1,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,3
0,0,2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,0,0,0,0,0,17,183,142,0,0,0,0,0,47,157,2,0,3,0,11,0,3,0,0,0,18,0,0,170,42,133,0,0,0,0,0,2,0,2,366,347,171,0,0,0,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,0,0,0,0,0,1,93,416,162,0,2,0,0,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,0,0,0,9,1,173,489,60,335,163,0,0,0,1,0,0,147,171,84,468,102,2,0,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,3
2,0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,47,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,1,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,3
0,0,0,0,0,117,495,0,0,0,0,0,0,37,34,351,256,192,0,1,0,0,0,0,17,183,142,0,0,0,6,16,0,157,2,0,3,0,11,0,3,2,1,0,18,0,0,170,42,133,0,0,2,0,0,2,0,2,366,347,171,0,0,2,0,0,0,1,0,97,344,78,0,2,0,0,0,0,0,34,62,271,162,0,0,20,0,0,0,0,1,93,416,162,0,2,0,1,0,0,0,0,180,117,208,0,0,0,0,0,8,0,149,66,40,107,86,0,9,1,0,9,1,173,489,60,335,163,0,1,0,0,0,0,147,171,84,468,102,2,1,0,0,0,2,278,53,0,323,48,2,0,0,0,2,0,101,0,1,113,2,0,0,0,0,0,16,116,1,1,0,18,9,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,28,0,0,3,0,0,0,1,31,0,0,3,1,0,0,0,0,2,2,33,2,0,149,108,1,0,1,0,3
